shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
crx-route-1-shape,33.119581,-117.093312,0
crx-route-1-shape,33.119577,-117.09335,1
crx-route-1-shape,33.119564,-117.093447,2
crx-route-1-shape,33.119562,-117.09355,3
crx-route-1-shape,33.119559,-117.093787,4
crx-route-1-shape,33.119551,-117.093937,5
crx-route-1-shape,33.119538,-117.094109,6
crx-route-1-shape,33.119518,-117.094287,7
crx-route-1-shape,33.119498,-117.094422,8
crx-route-1-shape,33.119482,-117.094492,9
crx-route-1-shape,33.119451,-117.094628,10
crx-route-1-shape,33.119445,-117.094643,11
crx-route-1-shape,33.119439,-117.094655,12
crx-route-1-shape,33.119403,-117.094678,13
crx-route-1-shape,33.11936,-117.094704,14
crx-route-1-shape,33.119353,-117.094717,15
crx-route-1-shape,33.119357,-117.094737,16
crx-route-1-shape,33.119398,-117.094847,17
crx-route-1-shape,33.11939,-117.094875,18
crx-route-1-shape,33.119311,-117.095185,19
crx-route-1-shape,33.11929,-117.095254,20
crx-route-1-shape,33.119231,-117.0954,21
crx-route-1-shape,33.119201,-117.095474,22
crx-route-1-shape,33.11904,-117.095815,23
crx-route-1-shape,33.118984,-117.09592,24
crx-route-1-shape,33.118915,-117.096034,25
crx-route-1-shape,33.118789,-117.096217,26
crx-route-1-shape,33.118665,-117.096387,27
crx-route-1-shape,33.118627,-117.096436,28
crx-route-1-shape,33.118556,-117.096527,29
crx-route-1-shape,33.118486,-117.096618,30
crx-route-1-shape,33.11841,-117.096716,31
crx-route-1-shape,33.118309,-117.09686,32
crx-route-1-shape,33.118206,-117.097024,33
crx-route-1-shape,33.118119,-117.097191,34
crx-route-1-shape,33.118033,-117.097371,35
crx-route-1-shape,33.117956,-117.097585,36
crx-route-1-shape,33.1179,-117.097758,37
crx-route-1-shape,33.1179,-117.097758,0
crx-route-1-shape,33.11789,-117.097789,1
crx-route-1-shape,33.117848,-117.097963,2
crx-route-1-shape,33.117815,-117.098126,3
crx-route-1-shape,33.117787,-117.098328,4
crx-route-1-shape,33.117769,-117.09854,5
crx-route-1-shape,33.117764,-117.09873,6
crx-route-1-shape,33.11777,-117.098918,7
crx-route-1-shape,33.11779,-117.099359,8
crx-route-1-shape,33.117785,-117.099578,9
crx-route-1-shape,33.11775,-117.099862,10
crx-route-1-shape,33.117649,-117.100323,11
crx-route-1-shape,33.117509,-117.100672,12
crx-route-1-shape,33.117433,-117.100807,13
crx-route-1-shape,33.117365,-117.100926,14
crx-route-1-shape,33.117285,-117.101051,15
crx-route-1-shape,33.117203,-117.10116,16
crx-route-1-shape,33.117107,-117.10128,17
crx-route-1-shape,33.117008,-117.101393,18
crx-route-1-shape,33.116911,-117.101479,19
crx-route-1-shape,33.1168,-117.101573,20
crx-route-1-shape,33.116672,-117.101662,21
crx-route-1-shape,33.116609,-117.101713,22
crx-route-1-shape,33.116493,-117.101777,23
crx-route-1-shape,33.116409,-117.101816,24
crx-route-1-shape,33.116267,-117.10188,25
crx-route-1-shape,33.116181,-117.10191,26
crx-route-1-shape,33.11599,-117.101968,27
crx-route-1-shape,33.115803,-117.102021,28
crx-route-1-shape,33.115646,-117.102073,29
crx-route-1-shape,33.115522,-117.10212,30
crx-route-1-shape,33.115385,-117.102181,31
crx-route-1-shape,33.115202,-117.10227,32
crx-route-1-shape,33.115038,-117.102367,33
crx-route-1-shape,33.114878,-117.102469,34
crx-route-1-shape,33.114664,-117.102631,35
crx-route-1-shape,33.114492,-117.10278,36
crx-route-1-shape,33.114371,-117.102897,37
crx-route-1-shape,33.114163,-117.10312,38
crx-route-1-shape,33.114096,-117.1032,39
crx-route-1-shape,33.114033,-117.103315,40
crx-route-1-shape,33.113826,-117.103664,41
crx-route-1-shape,33.113715,-117.103886,42
crx-route-1-shape,33.113564,-117.104215,43
crx-route-1-shape,33.113479,-117.104374,44
crx-route-1-shape,33.11331,-117.104779,45
crx-route-1-shape,33.113258,-117.10488,46
crx-route-1-shape,33.113218,-117.105049,47
crx-route-1-shape,33.113188,-117.105174,48
crx-route-1-shape,33.113169,-117.105296,49
crx-route-1-shape,33.112982,-117.10623,50
crx-route-1-shape,33.112982,-117.10623,0
crx-route-1-shape,33.112885,-117.106713,1
crx-route-1-shape,33.112776,-117.107233,2
crx-route-1-shape,33.11272,-117.107452,3
